seriesid,seriesname
1268,England in Pakistan Test Series, 1984
1269,New Zealand in Sri Lanka Test Series, 1984
1270,Australia in West Indies, 1984
1271,West Indies in England, 1984
1272,Sri Lanka in England Test Match, 1984
1273,India in Pakistan Test Series, 1984
1274,New Zealand in Pakistan Test Series, 1984
1275,West Indies in Australia, 1984-85
1276,England in India Test Series, 1984-85
1277,Pakistan in New Zealand Test Series, 1985
1278,New Zealand in West Indies Test Series, 1985
6927,England tour of India, 2024
1279,Australia in England, 1985
1280,India in Sri Lanka Test Series, 1985
1281,Sri Lanka in Pakistan Test Series, 1985
1282,New Zealand in Australia, 1985
1283,India in Australia Test Series, 1985-86
1284,Australia in New Zealand, 1986
1285,Pakistan in Sri Lanka Test Series, 1986
1286,England in West Indies, 1986
1188,Pakistan in England Test Series, 1971
1189,India in England Test Series, 1971
1190,New Zealand in West Indies Test Series, 1972
7065,Zimbabwe tour of England, 2025
1191,Australia in England, 1972
1192,Pakistan in Australia Test Series, 1972-73
1193,England in India Test Series, 1972-73
1194,Pakistan in New Zealand Test Series, 1973
1195,England in Pakistan Test Series, 1973
1196,Australia in West Indies, 1973
1197,New Zealand in England Test Series, 1973
1198,West Indies in England
1199,New Zealand in Australia Test Series
1200,Australia in New Zealand Test Series
1201,England in West Indies
1202,India in England Test Series
1203,Pakistan in England Test Series
1204,West Indies in India Test Series
1205,England in Australia, 1974-75
1206,England in New Zealand Test Series
1207,West Indies in Pakistan Test Series
1208,Australia in England, 1975
1209,West Indies in Australia
1210,India in New Zealand Test Series
1211,India in West Indies Test Series
1212,West Indies in England
1213,New Zealand in Pakistan Test Series, 1976
1214,New Zealand in India Test Series, 1976
1215,Pakistan in Australia Test Series, 1976-77
1216,England in India Test Series, 1976-77
1217,Australia in New Zealand Test Series, 1977
1218,England in Australia, 1977
1219,Pakistan in West Indies Test Series, 1977
1220,Australia in England, 1977
1221,England in Pakistan Test Series, 1977-78
1222,India in Australia Test Series, 1977-78
1223,England in New Zealand Test Series, 1978
1224,Australia in West Indies, 1978
1225,Pakistan in England Test Series, 1978
1226,New Zealand in England Test Series, 1978
1227,India in Pakistan Test Series, 1978
1228,West Indies in India Test Series, 1978-79
1229,England in Australia, 1978-79
1230,Pakistan in New Zealand Test Series, 1979
1231,Pakistan in Australia Test Series, 1979
1232,India in England Test Series, 1979
1233,Australia in India Test Series, 1979
1234,West Indies in Australia, 1979-80
1235,Pakistan in India Test Series, 1979-80
1236,England in Australia Test Series, 1979-80
1237,England in India, 1980
1238,West Indies in New Zealand Test Series, 1980
1239,Australia in Pakistan Test Series, 1980
1240,West Indies in England, 1980
1241,Australia in England, 1980
1242,New Zealand in Australia Test Series, 1980
1243,West Indies in Pakistan Test Series, 1980-81
1244,India in Australia Test Series, 1981
1245,India in New Zealand Test Series, 1981
1246,England in West Indies, 1981
1102,South Africa in England Test Series
1103,West Indies in Australia Test Series
1104,England in India Test Series
1105,West Indies in New Zealand Test Series
1106,India in England Test Series
1107,Pakistan in India Test Series
1108,South Africa in Australia Test Series
1109,South Africa in New Zealand Test Series
1110,India in West Indies Test Series
1111,Australia in England, 1953
1112,New Zealand in South Africa Test Series
1113,England in West Indies Test Series
1114,Pakistan in England Test Series
1115,India in Pakistan Test Series
1116,England in Australia, 1954-55
1117,England in New Zealand Test Series
1118,Australia in West Indies Test Series
1119,South Africa in England Test Series
1120,New Zealand in Pakistan Test Series
1121,New Zealand in India Test Series
1122,West Indies in New Zealand Test Series
1123,Australia in England, 1956
1124,Australia in Pakistan Test Match
1125,Australia in India Test Series
1126,England in South Africa Test Series
1127,West Indies in England Test Series
1128,Australia in South Africa Test Series
1129,Pakistan in West Indies Test Series
1130,New Zealand in England Test Series
1131,West Indies in India Test Series
1132,England in Australia, 1958-59
1133,England in New Zealand Test Series
1134,West Indies in Pakistan Test Series
1135,India in England Test Series
1136,Australia in Pakistan Test Series
1137,Australia in India Test Series
